KrakenDB,NCBI_Parent
1000000582,10991
1000000583,10991
1000000584,10991
1000000585,10991
1000000586,10991
1000000587,10991
1000000588,10991
1000000589,10991
1000000590,10990
1000000591,10990
1000000592,10990
1000000593,10990
1000000594,10990
1000000595,10990
1000000596,10990
1000000597,10990
1000000598,10990
1000000599,10990
1000000600,10990
1000000601,59563
1000000602,59563
1000000603,11002
1000000604,11002
1000000605,11002
1000000606,10995
1000000607,10995
1000000608,10995
1000000609,35269
1000000610,35269
1000000611,11020
1000000612,11020
1000000613,11021
1000000614,11021
1000000615,11008
1000000616,11008
1000000617,11024
1000000618,11024
1000000619,40281
1000000620,40281
1000000621,12465
1000000622,12465
1000000623,12465
1000000624,11033
1000000625,11033
1000000626,35265
1000000627,35265
1000000628,11023
1000000629,11023
1000000630,12538
1000000631,12538
1000000632,11034
1000000633,11034
1000000634,11036
1000000635,11036
1000000636,11041
1000000637,11041
1000000638,45764
1000000639,45764
1000000640,11039
1000000641,11039
1000000642,11048
1000000643,11048
1000000644,11047
1000000645,11047
1000000646,11053
1000000647,11053
1000000648,292208
1000000649,292208
1000000650,11049
1000000651,11049
1000000652,11060
1000000653,11060
1000000654,11069
1000000655,11069
1000000656,11070
1000000657,11070
1000000658,11072
1000000659,11072
1000000660,45455
1000000661,45455
1000000662,11079
1000000663,11079
1000000664,222475
1000000665,222475
1000000666,11082
1000000667,11082
1000000668,11080
1000000669,11080
1000000670,12264
1000000671,12264
1000000672,12264
1000000673,12470
1000000674,12470
1000000675,11084
1000000676,11084
1000000677,11082
1000000678,11082
1000000679,11083
1000000680,11083
1000000681,40282
1000000682,40282
1000000683,11086
1000000684,11086
1000000685,11085
1000000686,11085
1000000687,11089
1000000688,11089
1000000689,11096
1000000690,11096
1000000691,11099
1000000692,11099
1000000693,11120
1000000694,11120
1000000695,11120
1000000696,11120
1000000697,11128
1000000698,11128
1000000699,11135
1000000700,11135
1000000701,35279
1000000702,35279
1000000703,11138
1000000704,11138
1000000705,45768
1000000706,45768
1000000707,45768
1000000708,45768
1000000709,11138
1000000710,11138
1000000711,31507
1000000712,31507
1000000713,11137
1000000714,11137
1000000715,11149
1000000716,11149
1000000717,11191
1000000718,11191
1000000719,12472
1000000720,12472
1000000721,11152
1000000722,11152
1000000723,160484
1000000724,160484
1000000725,160484
1000000726,11215
1000000727,11215
1000000728,11216
1000000729,11216
1000000730,169687
1000000731,169687
1000000732,11232
1000000733,11232
1000000734,11224
1000000735,11224
1000000736,11234
1000000737,11234
1000000738,60877
1000000739,60877
1000000740,11240
1000000741,11240
1000000742,11242
1000000743,11242
1000000744,11247
1000000745,11247
1000000746,35280
1000000747,35280
1000000748,11246
1000000749,11246
1000000750,12466
1000000751,12466
1000000752,12466
1000000753,11250
1000000754,11250
1000000755,46436
1000000756,46436
1000000757,46436
1000000758,46436
1000000759,11250
1000000760,11250
1000000761,11269
1000000762,11269
1000000763,11272
1000000764,11272
1000000765,11269
1000000766,11269
1000000767,59749
1000000768,59749
1000000769,11274
1000000770,11274
1000000771,11277
1000000772,11277
1000000773,12475
1000000774,12475
1000000775,11277
1000000776,11277
1000000777,11290
1000000778,11290
1000000779,11280
1000000780,11280
1000000781,40521
1000000782,40521
1000000783,11292
1000000784,11292
1000000785,11307
1000000786,11307
1000000787,12267
1000000788,12267
1000000789,12267
1000000790,11303
1000000791,11303
1000000792,12241
1000000793,12241
1000000794,11553
1000000795,11553
1000000796,11553
1000000797,11553
1000000798,11553
1000000799,11553
1000000800,11553
1000000801,11553
1000000802,256729
1000000803,256729
1000000804,83839
1000000805,83839
1000000806,11569
1000000807,11569
1000000808,11569
1000000809,11569
1000000810,11569
1000000811,11569
1000000812,11569
1000000813,11580
1000000814,11580
1000000815,11580
1000000816,11580
1000000817,11575
1000000818,11575
1000000819,11575
1000000820,11575
1000000821,35281
1000000822,35281
1000000823,11577
1000000824,11577
1000000825,11577
1000000826,11577
1000000827,60456
1000000828,60456
1000000829,60456
1000000830,60456
1000000831,11582
1000000832,11582
1000000833,11582
1000000834,11582
1000000835,104263
1000000836,104263
1000000837,11596
1000000838,11596
1000000839,11596
1000000840,11596
1000000841,12558
1000000842,12558
1000000843,11588
1000000844,11588
1000000845,11588
1000000846,11588
1000000847,11587
1000000848,11587
1000000849,11587
1000000850,11587
1000000851,11591
1000000852,11591
1000000853,11591
1000000854,11591
1000000855,11612
1000000856,11612
1000000857,11612
1000000858,11612
1000000859,11623
1000000860,11623
1000000861,11623
1000000862,12542
1000000863,12542
1000000864,11620
1000000865,11620
1000000866,11620
1000000867,11636
1000000868,11636
1000000869,11631
1000000870,11631
1000000871,11631
1000000872,45767
1000000873,45767
1000000874,45767
1000000875,45767
1000000876,11642
1000000877,11642
1000000878,11628
1000000879,11628
1000000880,11628
1000000881,11660
1000000882,11660
1000000883,11657
1000000884,11657
1000000885,11663
1000000886,11663
1000000887,11665
1000000888,11665
1000000889,11673
1000000890,11673
1000000891,11676
1000000892,11676
1000000893,12585
1000000894,12585
1000000895,12585
1000000896,12585
1000000897,12585
1000000898,12585
1000000899,12585
1000000900,11709
1000000901,11709
1000000902,35285
1000000903,35285
1000000904,35285
1000000905,11723
1000000906,11723
1000000907,12242
1000000908,12242
1000000909,11746
1000000910,11746
1000000911,11764
1000000912,11764
1000000913,12271
1000000914,12271
1000000915,12271
1000000916,11768
1000000917,11768
1000000918,11757
1000000919,11757
1000000920,62059
1000000921,62059
1000000922,11788
1000000923,11788
1000000924,128710
1000000925,128710
1000000926,11795
1000000927,11795
1000000928,72197
1000000929,72197
1000000930,11801
1000000931,11801
1000000932,12615
1000000933,12615
1000000934,12615
1000000935,11809
1000000936,11809
1000000937,11819
