"Sample_id","Coverage","Mean_depth"
"EHC-C19-3944R-L2","99.3145","17.977"
"EHC-C19-3982D-L2","99.8261","182.409"
"EHC-C19-3994P-L2","99.9866","11649.4"
"EHC-C19-4015K-L2","99.7458","291.808"
"EHC-C19-4021Q-L2","99.9866","20388.5"
"EHC-C19-4107Y-L2","99.8696","511.298"
"EHC-C19-4127S-L2","98.552","9.93964"
"EHC-C19-4222J-L2","99.9264","1386.89"
"EHC-C19-4269E-L2","0.130422","0.0159516"
"EHC-C19-4270F-L2","0.120389","0.0145805"
"EHC-C19-4479G-L2","99.903","19755.3"
"EHC-C19-4486N-L2","99.8997","32958"
"EHC-C19-4487O-L2","99.8662","1039.03"
"EHC-C19-4496X-L2","99.883","5857.37"
"EHC-C19-4503E-L2","99.9064","15486.3"
"EHC-C19-4508J-L2","99.9097","8470.36"
"EHC-C19-4512N-L2","99.8662","1176.53"
"EHC-C19-4516R-L2","99.9097","19080.8"
"EHC-C19-4519U-L2","99.8094","348.98"
"EHC-C19-5224X-L3","99.9097","13934.6"
"Water1-04042023","0.113701","0.00307661"
"Water2-04042023","0","0"
"Water2-04052023","0","0"
"Water3-04042023","99.8094","108.81"
"Water4-04042023","0.110357","0.00601946"
"Water5-04042023","0","0"
"Water6-04042023","0.113701","0.00826004"
